[1.0013, 1.00121, 1.00108, 1.00138, 1.0013, 1.00142, ],
[1.00142, 1.00135, 1.00122, 1.00155, 1.00139, 1.00158, ],
[1.00175, 1.00169, 1.00158, 1.00154, 1.00151, 1.00133, ],
[1.00058, 1.00069, 1.00081, 1.00056, 1.00066, 1.00053, ],
[1.00073, 1.00078, 1.00081, 1.00088, 1.00094, 1.00105, ],
[1.00058, 1.00047, 1.00037, 1.00049, 1.00039, 1.0004, ],
[1.0004, 1.00032, 1.00024, 1.00033, 1.00026, 1.00027, ],
[1.00095, 1.00102, 1.00105, 1.00113, 1.0012, 1.00132, ],
[1.00121, 1.00129, 1.00132, 1.0014, 1.0015, 1.00162, ],
[1.00162, 1.0018, 1.00192, 1.00158, 1.00169, 1.00148, ],
[1.00006, 1.00007, 1.00009, 1.00009, 1.00012, 1.00014, ],
[1.00027, 1.00026, 1.00024, 1.0002, 1.00019, 1.00014, ],
[1.00192, 1.00186, 1.00175, 1.00169, 1.00164, 1.00148, ],
[1, 1.00001, 1.00002, 1, 1.00001, 1, ],
[1.00002, 1.00005, 1.00009, 1.00004, 1.00007, 1.00006, ],
[1.00116, 1.00126, 1.0013, 1.00133, 1.00147, 1.0015, ],
[1.00116, 1.00152, 1.00167, 1.00133, 1.0011, 1, ],
[1.00162, 1.00147, 1.0013, 1.0016, 1.00138, 1.00142, ],
[1.00142, 1.00155, 1.00158, 1.00164, 1.00172, 1.00184, ],
[1.00199, 1.00181, 1.00158, 1.0019, 1.00169, 1.00175, ],
[1.00084, 1.00084, 1.00081, 1.0007, 1.00069, 1.00058, ],
[1.00081, 1.00095, 1.00112, 1.00094, 1.0011, 1.00105, ],
[1.00061, 1.00059, 1.00058, 1.0005, 1.00049, 1.0004, ],
[1.0004, 1.00033, 1.00027, 1.00041, 1.00034, 1.00042, ],
[1.00105, 1.00123, 1.00142, 1.0012, 1.00139, 1.00132, ],
[1.00132, 1.00154, 1.00179, 1.0015, 1.00172, 1.00162, ],
[1.00212, 1.00204, 1.00192, 1.00186, 1.0018, 1.00162, ],
[1.00014, 1.00012, 1.00009, 1.00016, 1.00013, 1.00017, ],
[1.00014, 1.00016, 1.00017, 1.0002, 1.00022, 1.00027, ],
[1.00221, 1.00198, 1.00175, 1.00207, 1.00186, 1.00192, ],
[1, 1, 1.00001, 1.00001, 1.00002, 1.00002, ],
[1.00009, 1.00009, 1.00009, 1.00005, 1.00005, 1.00002, ],
[1.0015, 1.00147, 1.0013, 1.00171, 1.00147, 1.00162, ],
[1.0015, 1.00164, 1.00167, 1.00133, 1.00152, 1.00116, ],
[1, 1.0011, 1.00167, 1, 1.00131, 1, ],
[1.00162, 1.0016, 1.00142, 1.0018, 1.00164, 1.00184, ],
[1.00184, 1.00173, 1.00158, 1.00196, 1.00181, 1.00199, ],
[1.00199, 1.0019, 1.00175, 1.00213, 1.00198, 1.00221, ],
[1.00084, 1.00099, 1.00112, 1.00084, 1.00095, 1.00081, ],
[1.00061, 1.00072, 1.00084, 1.00059, 1.0007, 1.00058, ],
[1.00112, 1.00128, 1.00142, 1.0011, 1.00123, 1.00105, ],
[1.00061, 1.0005, 1.0004, 1.00051, 1.00041, 1.00042, ],
[1.00027, 1.00028, 1.00028, 1.00034, 1.00035, 1.00042, ],
[1.00132, 1.00139, 1.00142, 1.00154, 1.00162, 1.00179, ],
[1.00179, 1.00197, 1.00212, 1.00172, 1.00186, 1.00162, ],
[1.00212, 1.00229, 1.00242, 1.00204, 1.00217, 1.00192, ],
[1.00017, 1.00013, 1.00009, 1.00013, 1.00009, 1.00009, ],
[1.00027, 1.00022, 1.00017, 1.00028, 1.00022, 1.00028, ],
[1.00192, 1.00217, 1.00242, 1.00207, 1.00233, 1.00221, ],
[1, 1, 1.00001, 1, 1, 1, ],
[1.00002, 1.00002, 1.00001, 1.00003, 1.00002, 1.00004, ],
[1.00002, 1.00003, 1.00004, 1.00005, 1.00006, 1.00009, ],
[1.00196, 1.00174, 1.0015, 1.00188, 1.00171, 1.00162, ],
[1.00197, 1.00182, 1.00166, 1.00181, 1.00164, 1.0015, ],
[1, 1.00131, 1.00167, 1.00174, 1.00182, 1.00197, ],
[1.00206, 1.00189, 1.00162, 1.00201, 1.0018, 1.00184, ],
[1.00225, 1.00204, 1.00184, 1.00217, 1.00196, 1.00199, ],
[1.00199, 1.00213, 1.00221, 1.00224, 1.00235, 1.00245, ],
[1.00084, 1.00099, 1.00116, 1.00099, 1.00115, 1.00112, ],
[1.00061, 1.00073, 1.00087, 1.00072, 1.00086, 1.00084, ],
[1.00112, 1.00128, 1.00147, 1.00128, 1.00146, 1.00142, ],
[1.00062, 1.00062, 1.00061, 1.00051, 1.00051, 1.00042, ],
[1.00042, 1.00035, 1.00028, 1.00042, 1.00034, 1.00042, ],
[1.00179, 1.00162, 1.00142, 1.00179, 1.00158, 1.00177, ],
[1.00179, 1.00207, 1.00236, 1.00197, 1.00226, 1.00212, ],
[1.00266, 1.00256, 1.00242, 1.00239, 1.00229, 1.00212, ],
[1.00017, 1.00017, 1.00017, 1.00013, 1.00013, 1.00009, ],
[1.00028, 1.00022, 1.00017, 1.00022, 1.00017, 1.00017, ],
[1.00221, 1.00233, 1.00242, 1.00244, 1.00257, 1.00268, ],
[1.00001, 1.00001, 1.00001, 1.00001, 1, 1, ],
[1.00004, 1.00002, 1.00001, 1.00003, 1.00001, 1.00001, ],
[1.00009, 1.00006, 1.00004, 1.00009, 1.00007, 1.00009, ],
[1.00196, 1.002, 1.00196, 1.00174, 1.00181, 1.0015, ],
[1.00206, 1.00209, 1.00196, 1.00189, 1.00188, 1.00162, ],
[1, 1.00174, 1.00196, 1, 1.00195, 1, ],
[1.00225, 1.00226, 1.00206, 1.00204, 1.00201, 1.00184, ],
[1.00225, 1.00217, 1.00199, 1.00241, 1.00224, 1.00245, ],
[1.00221, 1.00244, 1.00268, 1.00235, 1.00262, 1.00245, ],
[1.00087, 1.00101, 1.00116, 1.00086, 1.00099, 1.00084, ],
[1.00116, 1.00132, 1.00146, 1.00115, 1.00128, 1.00112, ],
[1.00062, 1.00074, 1.00087, 1.00062, 1.00073, 1.00061, ],
[1.00142, 1.00146, 1.00146, 1.00158, 1.00163, 1.00177, ],
[1.00062, 1.00051, 1.00042, 1.00052, 1.00042, 1.00042, ],
[1.00042, 1.00034, 1.00028, 1.00034, 1.00027, 1.00027, ],
[1.00177, 1.00196, 1.00215, 1.00179, 1.00197, 1.00179, ],
[1.00179, 1.00197, 1.00215, 1.00207, 1.00226, 1.00236, ],
[1.00212, 1.00226, 1.00236, 1.00239, 1.00253, 1.00266, ],
[1.00296, 1.00268, 1.00242, 1.00283, 1.00256, 1.00266, ],
[1.00017, 1.00013, 1.00009, 1.00013, 1.00009, 1.00009, ],
[1.00027, 1.00027, 1.00028, 1.00021, 1.00022, 1.00017, ],
[1.00268, 1.00257, 1.00242, 1.00286, 1.00268, 1.00296, ],
[1, 1, 1.00001, 1, 1.00001, 1, ],
[1.00004, 1.00003, 1.00001, 1.00004, 1.00003, 1.00004, ],
[1.00004, 1.00004, 1.00004, 1.00007, 1.00007, 1.00009, ],
[1.00223, 1.0021, 1.00196, 1.00226, 1.002, 1.00196, ],
[1.00206, 1.00236, 1.00235, 1.00209, 1.00214, 1.00196, ],
[1, 1.00195, 1.00196, 1.00241, 1.0021, 1.00223, ],
[1.00225, 1.00247, 1.00253, 1.00226, 1.00228, 1.00206, ],
[1.00269, 1.00248, 1.00225, 1.00266, 1.00241, 1.00245, ],
[1.00245, 1.00262, 1.00268, 1.00269, 1.00286, 1.00296, ],
[1.00119, 1.00118, 1.00116, 1.00102, 1.00101, 1.00087, ],
[1.00152, 1.00151, 1.00146, 1.00133, 1.00132, 1.00116, ],
[1.00088, 1.00088, 1.00087, 1.00074, 1.00074, 1.00062, ],
[1.00177, 1.00163, 1.00146, 1.00183, 1.00166, 1.00188, ],
[1.00062, 1.00052, 1.00042, 1.00062, 1.00051, 1.00061, ],
[1.00042, 1.00034, 1.00027, 1.00041, 1.00032, 1.00039, ],
[1.00224, 1.00219, 1.00215, 1.00199, 1.00196, 1.00177, ],
[1.00236, 1.00226, 1.00215, 1.00248, 1.00236, 1.00258, ],
[1.00266, 1.00253, 1.00236, 1.00281, 1.00264, 1.00293, ],
[1.00323, 1.00311, 1.00296, 1.00295, 1.00283, 1.00266, ],
[1.00017, 1.00013, 1.00009, 1.00017, 1.00012, 1.00015, ],
[1.00027, 1.00021, 1.00017, 1.00021, 1.00017, 1.00015, ],
[1.00268, 1.00286, 1.00296, 1.00295, 1.00312, 1.00321, ],
[1.00001, 1.00001, 1.00001, 1.00001, 1, 1, ],
[1.00004, 1.00003, 1.00001, 1.00004, 1.00002, 1.00003, ],
[1.00004, 1.00006, 1.00008, 1.00007, 1.00009, 1.00009, ],
[1.00196, 1.00214, 1.00235, 1.00226, 1.00251, 1.00223, ],
[1.00253, 1.00255, 1.00235, 1.00228, 1.00236, 1.00206, ],
[1, 1.00241, 1.00223, 1, 1.00264, 1, ],
[1.00269, 1.00271, 1.00253, 1.00248, 1.00247, 1.00225, ],
[1.00269, 1.00266, 1.00245, 1.00291, 1.00269, 1.00296, ],
[1.00296, 1.00286, 1.00268, 1.00313, 1.00295, 1.00321, ],
[1.00152, 1.00133, 1.00116, 1.00136, 1.00118, 1.00119, ],
[1.00088, 1.00104, 1.00119, 1.00088, 1.00102, 1.00087, ],
[1.00188, 1.00166, 1.00146, 1.00171, 1.00151, 1.00152, ],
[1.00088, 1.00074, 1.00062, 1.00074, 1.00062, 1.00061, ],
[1.00224, 1.00199, 1.00177, 1.00206, 1.00183, 1.00188, ],
[1.00042, 1.00041, 1.00039, 1.00051, 1.0005, 1.00061, ],
[1.00027, 1.00025, 1.00022, 1.00032, 1.0003, 1.00039, ],
[1.00258, 1.00236, 1.00215, 1.00241, 1.00219, 1.00224, ],
[1.00293, 1.00264, 1.00236, 1.00277, 1.00248, 1.00258, ],
[1.00323, 1.00295, 1.00266, 1.0031, 1.00281, 1.00293, ],
[1.00351, 1.00323, 1.00296, 1.00339, 1.00311, 1.00323, ],
[1.00009, 1.00009, 1.00008, 1.00012, 1.00011, 1.00015, ],
[1.00027, 1.00021, 1.00015, 1.00025, 1.00019, 1.00022, ],
[1.00321, 1.00312, 1.00296, 1.0034, 1.00323, 1.00351, ],
